APf,ABf,GDP,NFi,NSi,label
3.3913,278.7391,15,23,12,0
4.625,350.5,5,8,5,0
0.5,31.0,0,2,2,0
1.2222,79.3333,9,9,3,0
5.0,322.0,2,1,1,0
1.0,84.0,2,2,2,0
3.0,222.0,2,1,1,0
3.0,222.0,0,1,1,0
1.0,74.0,0,1,1,0
17.2,3018.4,4,5,4,0
6.0895,2627.5737,97,190,13,0
8.5927,4310.1192,136,302,25,0
1.7639,238.5417,2,72,18,0
1.8421,383.5614,8,57,15,0
1.5417,143.8333,3,48,12,0
1.2609,94.6957,3,46,13,0
2.6375,344.375,17,80,21,0
2.05,426.6625,16,80,21,0
1.0,62.7273,0,44,11,0
1.1818,74.7727,0,44,11,0
1.0465,66.0,2,43,10,0
1.6667,118.386,7,57,15,0
1.6032,125.6825,10,63,16,0
2.6515,331.4242,12,66,19,0
1.0,62.4,0,10,6,0
1.2,73.8,0,10,6,0
1.0,62.25,0,8,5,0
3.4286,238.5,10,28,13,0
3.8571,268.4286,10,28,14,0
3.5,249.25,3,8,6,0
1.0,342.0,2,1,1,0
0.5,33.0,2,2,2,0
1.5,95.0,0,2,2,0
3.3333,230.0,2,3,3,0
4.3333,461.6667,4,6,3,0
2.7778,329.1111,5,9,5,0
13.2857,2435.4286,3,7,5,0
4.4784,1575.5569,115,255,13,0
2.8462,315.4615,0,13,4,0
7.1667,713.5,3,6,5,0
1.25,92.0,1,4,4,0
6.0,2225.3333,3,6,4,0
5.8333,584.1667,5,6,6,0
2.381,214.0952,9,21,11,0
1.0,158.0,0,3,3,0
2.2,171.6,3,5,5,0
0.6667,44.0,2,3,3,0
3.0,213.5,0,2,2,0
12.0,1984.0,6,8,6,0
7.8316,4038.8061,96,196,25,0
4.3818,897.2182,15,55,15,0
1.9333,164.8667,0,15,9,0
1.0,63.0,0,10,6,0
1.0,63.0,0,10,6,0
3.4,254.8333,10,30,14,0
3.3636,267.7879,12,33,14,0
1.0,63.3333,0,9,6,0
1.1818,75.2727,2,11,7,0
1.1667,76.6667,1,12,7,0
8.7576,5216.9697,11,33,14,0
1.4,100.3,2,20,12,0
3.6667,312.2381,12,42,19,0
1.0,66.0,0,6,4,0
1.0,66.0,0,6,4,0
8.2468,5158.981,60,158,21,0
4.2593,1103.1111,5,27,17,0
3.5455,263.0,10,33,17,0
6.2222,941.6667,6,18,12,0
1.0,64.3636,0,11,8,0
2.0,182.0833,1,12,8,0
2.0769,159.3077,8,26,15,0
1.8333,803.0,1,12,9,0
1.3636,92.5455,2,11,7,0
2.8462,254.6154,1,13,9,0
1.1667,76.6667,1,12,7,0
1.8,129.2,4,20,11,0
2.0,172.6538,8,26,15,0
2.1111,183.7778,3,9,7,0
0.0,0.0,0,1,1,0
2.75,221.5,4,4,4,0
0.0,0.0,0,1,1,0
4.1333,290.0,8,15,9,0
2.6667,388.0,1,3,3,0
1.0,342.0,0,1,1,0
2.75,345.25,3,4,3,0
1.0,342.0,0,1,1,0
0.0,0.0,0,1,1,0
15.8065,15125.0968,17,31,7,0
17.2,3046.4,3,5,4,0
8.1844,3521.5957,72,141,15,0
4.5,1423.1867,72,166,16,0
2.1176,171.8824,0,17,6,0
4.0,242.4,0,5,3,0
1.5,134.8,6,10,7,0
5.6667,575.3333,1,3,3,0
3.8966,317.7586,16,29,13,0
2.4667,194.0,7,15,6,0
2.0,155.6667,3,6,5,0
3.4167,277.3333,12,24,10,0
7.0,1314.8,5,10,7,0
6.9902,2442.3333,45,102,14,0
2.0,578.3929,6,28,9,0
2.7143,220.3571,1,14,8,0
1.6429,496.2857,3,14,6,0
3.4706,243.1765,13,34,15,0
6.3636,886.3182,9,22,12,0
2.1923,362.3846,8,26,10,0
1.0,62.25,0,8,4,0
2.6364,195.4545,4,11,4,0
1.0,62.25,0,8,4,0
6.4346,2760.443,118,237,26,0
3.3659,671.4146,4,41,17,0
2.5283,346.3019,22,53,16,0
8.1062,4448.2188,56,160,18,0
3.5,598.2143,6,28,10,0
3.1111,323.6111,4,18,7,0
3.0,1789.6667,2,6,3,0
1.0,63.0,0,2,2,0
3.5714,331.1429,4,7,5,0
2.6667,494.037,12,27,13,0
1.0,63.0,0,2,2,0
2.3333,181.0,2,6,4,0
1.0,156.0,2,3,3,0
0.6667,42.0,0,3,3,0
2.9231,275.3846,5,13,8,0
10.5172,6607.977,36,87,15,0
2.25,211.25,3,12,7,0
2.9,306.2,1,10,6,0
1.0,63.0,0,2,2,0
7.5455,1958.5455,7,11,8,0
4.2778,420.2778,8,18,12,0
2.2941,195.2941,6,17,9,0
1.7143,118.2857,1,7,6,0
8.8469,3177.0287,102,209,24,0
2.3673,337.5306,2,49,16,0
2.0938,182.125,3,32,14,0
1.6538,132.1538,1,26,11,0
13.7069,6011.7414,21,58,20,0
0.9992,1417.4046,3047,2635,1,1
1.0055,60.3292,13952,13122,2,1
1.0055,60.3292,13952,13122,2,1
1.0,425.1905,28,21,1,1
1.0,430.5789,24,19,1,1
1.0,484.0,1,1,1,1
1.0,440.0,6,5,1,1
1.0,467.0,1,1,1,1
1.4,622.8,7,5,1,1
2.8462,1705.2308,38,26,1,1
1.0,484.0,4,4,1,1
1.0,484.0,1,1,1,1
1.0,484.0,1,1,1,1
1.0,484.0,5,5,1,1
1.0,442.0,7,5,1,1
1.25,510.25,13,8,1,1
1.0,425.0,16,11,1,1
1.0,421.7778,11,9,1,1
1.0,484.0,2,2,1,1
1.0,432.5,10,8,1,1
2.3333,1315.1111,52,36,1,1
2.7143,1538.7143,11,7,1,1
1.0,417.3333,8,6,1,1
1.0,484.0,3,2,1,1
1.0,455.4286,8,7,1,1
1.0,434.0,15,12,1,1
1.0,417.7143,10,7,1,1
1.0,417.44,34,25,1,1
1.0,444.5556,11,9,1,1
1.0,443.4,6,5,1,1
1.0,419.16,33,25,1,1
1.0,422.2857,28,21,1,1
1.0,419.3333,27,21,1,1
1.0,423.4286,28,21,1,1
1.0,421.8571,36,28,1,1
1.0,436.5882,21,17,1,1
1.0,417.8,53,40,1,1
1.0,419.6818,58,44,1,1
1.0,421.3077,17,13,1,1
1.0,423.1,13,10,1,1
1.0,484.0,3,3,1,1
1.0,446.2857,9,7,1,1
1.0,421.9565,30,23,1,1
1.0,419.2353,22,17,1,1
1.0,420.8409,57,44,1,1
1.0,425.4643,36,28,1,1
1.0,420.3214,37,28,1,1
1.0,415.6786,37,28,1,1
1.0,424.2941,23,17,1,1
1.0,433.5,15,12,1,1
1.0,433.25,5,4,1,1
1.0,417.3333,8,6,1,1
1.0,434.0,6,4,1,1
1.0,419.5455,29,22,1,1
1.0,392.1111,12,9,1,1
1.0,416.3333,8,6,1,1
1.0,422.0,33,24,1,1
1.0,420.7429,45,35,1,1
1.0,418.0588,45,34,1,1
1.0,431.75,5,4,1,1
1.0,428.1667,8,6,1,1
1.0,414.6667,12,9,1,1
1.0,421.6667,24,18,1,1
1.0,425.5714,18,14,1,1
1.0,428.6364,14,11,1,1
1.0,433.25,20,16,1,1
1.0,423.4118,44,34,1,1
1.0,425.1429,9,7,1,1
1.0,437.3846,15,13,1,1
1.0,484.0,3,3,1,1
1.0,421.5,21,16,1,1
1.0,444.0,6,5,1,1
1.0,439.5556,11,9,1,1
1.0,452.0,9,7,1,1
1.0,484.0,1,1,1,1
1.0,484.0,2,2,1,1
1.0,444.0,6,5,1,1
1.0,420.0,2,1,1,1
1.0,416.0,2,2,1,1
1.0,484.0,3,2,1,1
1.0,484.0,2,2,1,1
1.0,484.0,3,3,1,1
2.6667,1559.0,17,12,1,1
2.5714,1489.9643,40,28,1,1
1.0,414.3333,16,12,1,1
1.0,421.3,27,20,1,1
1.0,414.3333,8,6,1,1
1.0,484.0,4,3,1,1
1.0,484.0,1,1,1,1
2.2216,903.5256,7473,6240,1,1
9.0,2304.5,3,4,2,1
9.0,3896.0,1,2,2,1
4.3333,1325.3333,2,6,2,1
2.0,132.0,0,2,2,1
11.0,3348.3333,3,6,2,1
6.5,1945.5,2,4,2,1
8.1667,2874.8333,5,12,2,1
