Timestamp,Source_IP,Destination_IP,Prediction,Confidence_Score,Detection_Time_ms,Mitigation_Time_ms,Action_Taken
2026-05-24T22:42:28.859078,10.0.1.1,victim,DDoS,0.8400,27.72,0.14,"DROP_RULE_INSTALLED(ip=10.0.1.1, priority=100, timeout=300s)"
2026-05-24T22:42:28.945146,10.0.122.34,victim,DDoS,0.8600,83.24,0.13,"DROP_RULE_INSTALLED(ip=10.0.122.34, priority=100, timeout=300s)"
2026-05-24T22:42:28.973578,10.0.247.135,victim,DDoS,0.8600,25.78,0.13,"DROP_RULE_INSTALLED(ip=10.0.247.135, priority=100, timeout=300s)"
2026-05-24T22:42:29.003238,10.0.197.143,victim,DDoS,0.8600,26.76,0.14,"DROP_RULE_INSTALLED(ip=10.0.197.143, priority=100, timeout=300s)"
2026-05-24T22:42:29.031613,10.0.249.114,victim,DDoS,0.8600,25.50,0.15,"DROP_RULE_INSTALLED(ip=10.0.249.114, priority=100, timeout=300s)"
2026-05-24T22:42:29.061102,10.0.7.192,victim,DDoS,0.8600,26.78,0.18,"DROP_RULE_INSTALLED(ip=10.0.7.192, priority=100, timeout=300s)"
2026-05-24T22:42:29.091029,10.0.143.170,victim,DDoS,0.8600,26.76,0.15,"DROP_RULE_INSTALLED(ip=10.0.143.170, priority=100, timeout=300s)"
2026-05-24T22:42:29.121058,10.0.127.97,victim,DDoS,0.8600,26.92,0.16,"DROP_RULE_INSTALLED(ip=10.0.127.97, priority=100, timeout=300s)"
2026-05-24T22:42:29.150880,10.0.50.174,victim,DDoS,0.8600,26.81,0.14,"DROP_RULE_INSTALLED(ip=10.0.50.174, priority=100, timeout=300s)"
2026-05-24T22:42:29.180650,10.0.34.20,victim,DDoS,0.8600,27.13,0.15,"DROP_RULE_INSTALLED(ip=10.0.34.20, priority=100, timeout=300s)"
2026-05-24T22:42:29.210106,10.0.251.17,victim,DDoS,0.8600,26.39,0.16,"DROP_RULE_INSTALLED(ip=10.0.251.17, priority=100, timeout=300s)"
2026-05-24T22:42:29.238835,10.0.177.100,victim,DDoS,0.7800,26.21,0.16,"DROP_RULE_INSTALLED(ip=10.0.177.100, priority=100, timeout=300s)"
2026-05-24T22:42:29.675417,10.0.44.58,victim,DDoS,0.8600,26.28,0.15,"DROP_RULE_INSTALLED(ip=10.0.44.58, priority=100, timeout=300s)"
2026-05-24T22:42:29.765147,10.0.83.178,victim,DDoS,0.8600,26.78,0.15,"DROP_RULE_INSTALLED(ip=10.0.83.178, priority=100, timeout=300s)"
2026-05-24T22:42:29.824379,10.0.212.197,victim,DDoS,0.8600,26.48,0.14,"DROP_RULE_INSTALLED(ip=10.0.212.197, priority=100, timeout=300s)"
2026-05-24T22:42:29.910252,10.0.96.229,victim,DDoS,0.8600,26.13,0.15,"DROP_RULE_INSTALLED(ip=10.0.96.229, priority=100, timeout=300s)"
2026-05-24T22:42:29.939155,10.0.203.151,victim,DDoS,0.8600,26.22,0.15,"DROP_RULE_INSTALLED(ip=10.0.203.151, priority=100, timeout=300s)"
2026-05-24T22:42:31.331678,10.0.2.1,victim,DDoS,0.8400,27.87,0.19,"DROP_RULE_INSTALLED(ip=10.0.2.1, priority=100, timeout=300s)"
2026-05-24T22:42:31.362639,10.0.28.15,victim,DDoS,0.8600,27.36,0.16,"DROP_RULE_INSTALLED(ip=10.0.28.15, priority=100, timeout=300s)"
2026-05-24T22:42:31.509895,10.0.84.112,victim,DDoS,0.8600,27.04,0.19,"DROP_RULE_INSTALLED(ip=10.0.84.112, priority=100, timeout=300s)"
2026-05-24T22:42:31.539927,10.0.40.37,victim,DDoS,0.8600,27.08,0.14,"DROP_RULE_INSTALLED(ip=10.0.40.37, priority=100, timeout=300s)"
2026-05-24T22:42:31.569605,10.0.194.150,victim,DDoS,0.8600,26.71,0.15,"DROP_RULE_INSTALLED(ip=10.0.194.150, priority=100, timeout=300s)"
2026-05-24T22:42:39.786955,10.0.199.49,victim,DDoS,0.8600,27.12,0.13,"DROP_RULE_INSTALLED(ip=10.0.199.49, priority=100, timeout=300s)"
2026-05-24T22:42:39.854695,10.0.101.171,victim,DDoS,0.8600,33.93,0.24,"DROP_RULE_INSTALLED(ip=10.0.101.171, priority=100, timeout=300s)"
2026-05-24T22:42:39.888967,10.0.95.126,victim,DDoS,0.8600,29.36,0.31,"DROP_RULE_INSTALLED(ip=10.0.95.126, priority=100, timeout=300s)"
2026-05-24T22:42:39.924952,10.0.147.254,victim,DDoS,0.8600,31.10,0.18,"DROP_RULE_INSTALLED(ip=10.0.147.254, priority=100, timeout=300s)"
